ISSN,全名,中文全名,年文章量,投稿难易度,初审周期,主页
0166-5316,performance evaluation,绩效评价,53,较易,"较慢,6-12周",https://www.journals.elsevier.com/performance-evaluation/
0734-2071,acm transactions on computer systems,计算机系统的ACM事务,13,较易,>12周，或约稿,https://tocs.acm.org/
0004-5411,journal of the acm,ACM杂志,40,较易,>12周，或约稿,https://jacm.acm.org/
0942-4962,multimedia systems,多媒体系统,58,较易,"较慢,6-12周",https://www.springer.com/computer/security+and+cryptology/journal/530
1615-5262,INTERNATIONAL JOURNAL OF INFORMATION SECURITY,国际信息安全杂志,37,命中率约75%,平均1月,https://www.springer.com/computer/security+and+cryptology/journal/10207
0010-485X,computing,计算,64,较易,"较慢,6-12周",https://www.springer.com/computer/journal/607
1386-7857,cluster computing-the journal of networks software tools and applications,集群计算网络软件工具和应用杂志,286,容易,"一般,3-6周",https://www.springer.com/computer/communication+networks/journal/10586
1533-7146,QUANTUM INFORMATION & COMPUTATION,量子信息与计算,86,较易,"较慢,6-12周",https://dblp.uni-trier.de/db/journals/qic/index.html
0922-6443,real-time systems,实时系统,28,命中率约5%,平均6月,https://www.real-time-systems.com/
1380-7501,multimedia tools and applications,多媒体工具和应用,2393,命中率约50%,平均6月,https://www.springer.com/computer/information+systems+and+applications/journal/11042
0920-8542,journal of supercomputing,超级计算杂志,505,容易,"很快,2-3周",https://www.springer.com/computer/swe/journal/11227
0022-0000,journal of computer and system sciences,计算机与系统科学杂志,111,容易,"偏慢,4-8周",https://www.journals.elsevier.com/journal-of-computer-and-system-sciences/
2167-6461,Big Data,大数据,31,命中率约50%,平均2月,https://www.ibm.com/analytics/hadoop/big-data-analytics
1389-2576,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,遗传规划与进化机器,29,容易,>12周，或约稿,https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/10710
0266-4720,expert systems,专家系统,52,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/14680394
1556-4665,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,关于自主和自适应系统的ACM事务,22,容易,>12周，或约稿,https://taas.acm.org/
1936-2447,CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,密码学和通信离散结构布尔函数和序列,94,容易,"较慢,6-12周",https://www.springer.com/computer/security+and+cryptology/journal/12095
1544-3566,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM体系结构和代码优化事务,55,容易,"较慢,6-12周",https://dl.acm.org/citation.cfm?id=J924
1381-1231,journal of heuristics,启发学杂志,20,容易,>12周，或约稿,https://link.springer.com/journal/10732
1532-0626,concurrency and computation-practice & experience,并发与计算实践与经验,399,容易,"较快,2-4周",https://onlinelibrary.wiley.com/journal/15320634
0925-1022,designs codes and cryptography,设计代码和密码学,290,容易,"一般,3-6周",https://www.springer.com/computer/security+and+cryptology/journal/10623
2095-2228,FRONTIERS OF COMPUTER SCIENCE,计算机科学前沿,81,容易,"较慢,6-12周",https://www.springer.com/computer/journal/11704
0960-1295,mathematical structures in computer science,计算机科学中的数学结构,70,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=87644840&q=w
0890-5401,information and computation,信息与计算,240,容易,"一般,3-6周",http://iandc.csail.mit.edu/
0948-695X,journal of universal computer science,通用计算机科学杂志,50,容易,"较慢,6-12周",http://www.jucs.org/jucs_info/aims
0933-2790,journal of cryptology,密码学杂志,91,容易,"较慢,6-12周",https://link.springer.com/journal/145
0141-9331,microprocessors and microsystems,微处理器和微系统,328,容易,"较快,2-4周",https://www.journals.elsevier.com/microprocessors-and-microsystems/
1548-7199,INTERNATIONAL JOURNAL OF UNCONVENTIONAL COMPUTING,国际非常规计算杂志,19,容易,>12周，或约稿,https://www.oldcitypublishing.com/journals/
0018-8646,ibm journal of research and development,IBM研究与开发杂志,53,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=95bb2786&q=w
0167-8191,parallel computing,并行计算,53,容易,"较慢,6-12周",https://www.journals.elsevier.com/parallel-computing/
0954-0091,connection science,连接科学,35,容易,>12周，或约稿,https://www.tandfonline.com/loi/ccos20
0926-8782,distributed and parallel databases,分布式和并行数据库,16,容易,>12周，或约稿,https://link.springer.com/journal/10619
0097-5397,siam journal on computing,暹罗计算杂志,124,容易,"偏慢,4-8周",https://www.siam.org/Publications/Journals/SIAM-Journal-on-Computing-SICOMP
1064-5462,artificial life,人工生命,28,容易,>12周，或约稿,https://www.mitpressjournals.org/loi/artl
0885-7458,international journal of parallel programming,国际并行程序设计杂志,81,容易,"较慢,6-12周",https://www.springer.com/computer/theoretical+computer+science/journal/10766
1751-8709,IET Information Security,IET信息安全,53,容易,"较慢,6-12周",https://digital-library.theiet.org/content/journals/iet-ifs
1471-0684,theory and practice of logic programming,逻辑程序设计理论与实践,123,容易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=2a426762&q=w
1567-7818,NATURAL COMPUTING,自然计算,50,容易,"较慢,6-12周",https://link.springer.com/journal/11047
0267-6192,computer systems science and engineering,计算机系统科学与工程,42,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=90fb1725&q=w
0178-2770,distributed computing,分布式计算,23,容易,>12周，或约稿,https://link.springer.com/journal/446
0925-9856,formal methods in system design,系统设计中的形式化方法,33,容易,>12周，或约稿,https://link.springer.com/journal/10703
0010-4620,computer journal,计算机期刊,130,命中率约20%,平均3月,https://academic.oup.com/comjnl
1570-5838,APPLIED ONTOLOGY,应用本体论,17,容易,>12周，或约稿,https://www.iospress.nl/journal/applied-ontology/
0304-3975,theoretical computer science,理论计算机科学,379,容易,"较快,2-4周",https://www.journals.elsevier.com/theoretical-computer-science/
0747-7171,journal of symbolic computation,符号计算杂志,218,容易,"一般,3-6周",https://www.journals.elsevier.com/journal-of-symbolic-computation/
0955-792X,journal of logic and computation,逻辑与计算杂志,285,容易,"一般,3-6周",https://academic.oup.com/logcom
0219-7499,international journal of quantum information,国际量子信息杂志,172,容易,"一般,3-8周",https://www.worldscientific.com/worldscinet/ijqi
1529-3785,ACM Transactions on Computational Logic,计算逻辑上的ACM事务,99,容易,"较慢,6-12周",https://tocl.acm.org/
0288-3635,new generation computing,新一代计算,23,容易,>12周，或约稿,https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/354
0963-5483,combinatorics probability & computing,组合概率与计算,106,容易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=91851627&q=w
0179-5376,discrete & computational geometry,离散几何与计算几何,174,容易,"一般,3-8周",https://link.springer.com/journal/454
1383-7133,constraints,约束条件,23,容易,>12周，或约稿,https://link.springer.com/journal/10601
1549-6325,ACM TRANSACTIONS ON ALGORITHMS,ACM算法事务,76,容易,"较慢,6-12周",https://talg.acm.org/
0127-9084,MALAYSIAN JOURNAL OF COMPUTER SCIENCE,马来西亚计算机科学杂志,20,容易,>12周，或约稿,http://ejum.fsktm.um.edu.my/VolumeListing.aspx?JournalID=4
1751-8601,IET COMPUTERS AND DIGITAL TECHNIQUES,IET计算机和数字技术,27,容易,>12周，或约稿,https://digital-library.theiet.org/content/journals/iet-cdt
2352-2208,JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING,程序设计中的逻辑和代数方法杂志,187,容易,"一般,3-8周",https://www.journals.elsevier.com/journal-of-logical-and-algebraic-methods-in-programming/
1058-6180,ieee annals of the history of computing,IEEE计算历史年鉴,39,容易,>12周，或约稿,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=85
1930-5346,ADVANCES IN MATHEMATICS OF COMMUNICATIONS,通信数学进展,124,容易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=c0ae7294&q=w
1064-2307,journal of computer and systems sciences international,国际计算机与系统科学杂志,81,容易,"较慢,6-12周",https://www.springer.com/engineering/control/journal/11488
1557-5969,JOURNAL OF CELLULAR AUTOMATA,细胞自动机杂志,52,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=91c23542&q=w
1860-5974,LOGICAL METHODS IN COMPUTER SCIENCE,计算机科学中的逻辑方法,297,容易,"一般,3-6周",http://www.medsci.cn/sci/url.do?id=13cb10567&q=w
1016-3328,computational complexity,计算复杂性,48,容易,>12周，或约稿,https://link.springer.com/journal/37
0938-1279,applicable algebra in engineering communication and computing,工程通信与计算中的应用代数,64,容易,"较慢,6-12周",https://www.springer.com/computer/theoretical+computer+science/journal/200
1432-4350,theory of computing systems,计算系统理论,174,容易,"一般,3-8周",https://link.springer.com/journal/224
1542-3980,journal of multiple-valued logic and soft computing,多值逻辑与软计算杂志,195,容易,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=00e94082&q=w
0032-9460,PROBLEMS OF INFORMATION TRANSMISSION,信息传递问题,68,容易,"较慢,6-12周",https://www.springer.com/engineering/signals/journal/11122
0129-0541,international journal of foundations of computer science,国际计算机科学基础杂志,60,容易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijfcs
0161-1194,cryptologia,密码术,46,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=3c10696&q=w
1540-9589,JOURNAL OF WEB ENGINEERING,网络工程杂志,29,容易,>12周，或约稿,http://www.rintonpress.com/journals/jwe/
1453-8245,ROMANIAN JOURNAL OF INFORMATION SCIENCE AND TECHNOLOGY,罗马尼亚信息科学与技术杂志,69,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=268910874&q=w
